id,name,latitude,longitude,description
1100353,wrf_5.804245_81.046295,5.804245,81.046295,"WRF point"
1100354,wrf_5.804245_81.073524,5.804245,81.073524,"WRF point"
1100355,wrf_5.804245_81.100754,5.804245,81.100754,"WRF point"
1100356,wrf_5.804245_81.127983,5.804245,81.127983,"WRF point"
1100357,wrf_5.804245_81.155212,5.804245,81.155212,"WRF point"
1100358,wrf_5.804245_81.182442,5.804245,81.182442,"WRF point"
1100359,wrf_5.804245_81.209671,5.804245,81.209671,"WRF point"
1100360,wrf_5.804245_81.236900,5.804245,81.236900,"WRF point"
1100361,wrf_5.804245_81.264130,5.804245,81.264130,"WRF point"
1100362,wrf_5.804245_81.291359,5.804245,81.291359,"WRF point"
1100363,wrf_5.804245_81.318588,5.804245,81.318588,"WRF point"
1100364,wrf_5.804245_81.345818,5.804245,81.345818,"WRF point"
1100365,wrf_5.804245_81.373047,5.804245,81.373047,"WRF point"
1100366,wrf_5.804245_81.400276,5.804245,81.400276,"WRF point"
1100367,wrf_5.804245_81.427505,5.804245,81.427505,"WRF point"
1100368,wrf_5.804245_81.454735,5.804245,81.454735,"WRF point"
1100369,wrf_5.804245_81.481964,5.804245,81.481964,"WRF point"
1100370,wrf_5.804245_81.509193,5.804245,81.509193,"WRF point"
1100371,wrf_5.804245_81.536423,5.804245,81.536423,"WRF point"
1100372,wrf_5.804245_81.563652,5.804245,81.563652,"WRF point"
1100373,wrf_5.804245_81.590881,5.804245,81.590881,"WRF point"
1100374,wrf_5.804245_81.618111,5.804245,81.618111,"WRF point"
1100375,wrf_5.804245_81.645340,5.804245,81.645340,"WRF point"
1100376,wrf_5.804245_81.672569,5.804245,81.672569,"WRF point"
1100377,wrf_5.804245_81.699799,5.804245,81.699799,"WRF point"
1100378,wrf_5.804245_81.727028,5.804245,81.727028,"WRF point"
1100379,wrf_5.804245_81.754257,5.804245,81.754257,"WRF point"
1100380,wrf_5.804245_81.781487,5.804245,81.781487,"WRF point"
1100381,wrf_5.804245_81.808716,5.804245,81.808716,"WRF point"
1100382,wrf_5.804245_81.835945,5.804245,81.835945,"WRF point"
1100383,wrf_5.804245_81.863174,5.804245,81.863174,"WRF point"
1100384,wrf_5.804245_81.890404,5.804245,81.890404,"WRF point"
1100385,wrf_5.804245_81.917633,5.804245,81.917633,"WRF point"
1100386,wrf_5.804245_81.944855,5.804245,81.944855,"WRF point"
1100387,wrf_5.804245_81.972084,5.804245,81.972084,"WRF point"
1100388,wrf_5.804245_81.999313,5.804245,81.999313,"WRF point"
1100389,wrf_5.804245_82.026543,5.804245,82.026543,"WRF point"
1100390,wrf_5.804245_82.053772,5.804245,82.053772,"WRF point"
1100391,wrf_5.804245_82.081001,5.804245,82.081001,"WRF point"
1100392,wrf_5.804245_82.108231,5.804245,82.108231,"WRF point"
1100393,wrf_5.804245_82.135460,5.804245,82.135460,"WRF point"
1100394,wrf_5.804245_82.162689,5.804245,82.162689,"WRF point"
1100395,wrf_5.804245_82.189919,5.804245,82.189919,"WRF point"
1100396,wrf_5.831329_79.521461,5.831329,79.521461,"WRF point"
